May 29, 2017 8:34:10 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
May 29, 2017 8:34:10 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
May 29, 2017 8:34:10 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/lliao/source/xipki/dist/xipki-pki/xipki-pki-2.2.0-SNAPSHOT/lock
May 29, 2017 8:34:10 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
May 29, 2017 8:34:10 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-05-29 08:34:11,378 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.0.8
2017-05-29 08:34:11,378 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.0.8
2017-05-29 08:34:11,379 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.0.8
2017-05-29 08:34:11,379 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.0.8
2017-05-29 08:34:11,380 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.0.8
2017-05-29 08:34:11,380 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.0.8
2017-05-29 08:34:11,380 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.0.8
2017-05-29 08:34:11,380 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.0.8
2017-05-29 08:34:11,381 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.0.8
2017-05-29 08:34:11,381 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.0.8
